epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7627,2.85436,4.0359,4.43612,0.00234,0.19903,0.00149,0.00053,3.21133,3.89013,4.15905,6e-05,6e-05,6e-05
2,33.4605,3.01209,4.028,4.43909,0.00237,0.19903,0.00148,0.00051,3.21146,3.89117,4.15904,0.00012614,0.00012614,0.00012614
3,50.4677,3.32034,4.18634,4.36974,0.00217,0.18447,0.00132,0.00047,3.21167,3.89342,4.15908,0.00017644,0.00017644,0.00017644
4,67.056,3.21882,3.91345,4.27279,0.00237,0.19903,0.0015,0.00055,3.21217,3.89469,4.15919,0.0002109,0.0002109,0.0002109
5,84.0246,3.28035,3.9182,4.2679,0.00217,0.18447,0.00131,0.00048,3.21266,3.89504,4.15929,0.00022952,0.00022952,0.00022952
6,100.722,2.97059,3.98599,4.19724,0.00221,0.18447,0.00132,0.00047,3.21356,3.89571,4.1594,0.0002323,0.0002323,0.0002323
7,117.803,3.24978,4.04327,4.21588,0.00239,0.19903,0.0015,0.0005,3.21404,3.89751,4.15955,0.00021924,0.00021924,0.00021924
8,134.803,2.89912,3.76471,4.20598,0.00232,0.19417,0.00144,0.00047,3.21497,3.89951,4.15971,0.00019034,0.00019034,0.00019034
9,151.425,3.18491,3.79257,4.17157,0.00234,0.19417,0.00144,0.00049,3.21526,3.90351,4.16034,0.0001456,0.0001456,0.0001456
10,167.961,3.22515,3.76415,4.14581,0.00233,0.19417,0.00143,0.00048,3.21599,3.90667,4.16107,8.502e-05,8.502e-05,8.502e-05
