epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0473,3.6626,4.02287,4.32356,0.00128,0.125,0.00076,0.00032,2.93822,4.14275,4.15797,0.0002,0.0002,0.0002
2,78.9651,3.63798,3.9598,4.20423,0.00128,0.125,0.00078,0.00036,2.93746,4.13884,4.15489,0.000409605,0.000409605,0.000409605
3,111.736,3.41608,3.81987,4.15863,0.00128,0.125,0.00077,0.00031,2.937,4.12078,4.14499,0.00060832,0.00060832,0.00060832
4,142.468,3.42719,3.65353,4.07599,0.00128,0.125,0.00078,0.00037,2.9374,4.09268,4.13767,0.000796145,0.000796145,0.000796145
5,174.225,3.53284,3.52247,3.92317,0.00077,0.075,0.00042,0.00016,2.95613,4.03149,4.1364,0.00097308,0.00097308,0.00097308
6,205.648,3.26452,3.49271,3.74668,0.00077,0.075,0.00044,0.00014,2.99454,4.10641,4.20564,0.00113912,0.00113912,0.00113912
7,238.081,3.26163,3.32075,3.5641,0.00103,0.1,0.00058,0.00017,2.99006,4.19104,4.21933,0.00129428,0.00129428,0.00129428
8,271.891,3.05946,3.44951,3.526,0.00256,0.25,0.00178,0.00049,2.67127,3.82903,3.39968,0.00143855,0.00143855,0.00143855
9,303.85,2.90789,3.21504,3.36612,0.00513,0.5,0.01053,0.00381,2.5832,3.49478,3.19052,0.00157192,0.00157192,0.00157192
10,336.35,2.9279,3.36419,3.31434,0.0338,0.025,0.00771,0.00211,2.4172,3.68361,3.12216,0.0015545,0.0015545,0.0015545
11,369.192,2.88123,3.19417,3.18895,0.02361,0.05,0.03562,0.00635,2.67265,5.69138,3.46207,0.001505,0.001505,0.001505
12,401.096,2.78142,3.10474,3.09506,0.01549,0.05,0.00984,0.00287,2.67691,10.4527,3.52193,0.0014555,0.0014555,0.0014555
13,432.505,2.79788,3.03827,3.07682,0.01384,0.1,0.00559,0.00141,2.75062,20.8096,3.89797,0.001406,0.001406,0.001406
14,463.919,2.69074,2.97191,2.97816,0.05932,0.025,0.01714,0.00637,2.61174,6.3208,3.31017,0.0013565,0.0013565,0.0013565
15,495.349,2.63207,2.92494,2.93299,0.26056,0.025,0.02312,0.00691,2.43439,3.58048,2.95943,0.001307,0.001307,0.001307
16,527.19,2.57398,2.75993,2.89279,0.15315,0.075,0.04853,0.01655,2.51763,3.4561,3.03181,0.0012575,0.0012575,0.0012575
17,559.782,2.4835,2.71045,2.83509,0.10061,0.1,0.05939,0.02279,2.47079,3.52782,3.04704,0.001208,0.001208,0.001208
18,592.336,2.50241,2.66661,2.80103,0.58912,0.15,0.19044,0.08412,2.23257,2.88115,2.90659,0.0011585,0.0011585,0.0011585
19,624.02,2.42742,2.49865,2.67901,0.23295,0.25,0.14692,0.05979,2.09478,3.09415,2.72493,0.001109,0.001109,0.001109
20,655.462,2.38847,2.49215,2.66,0.40998,0.225,0.26036,0.13437,2.00435,2.76555,2.59852,0.0010595,0.0010595,0.0010595
21,686.748,2.34912,2.40928,2.57679,0.50923,0.3,0.33217,0.15647,2.05205,2.7062,2.53461,0.00101,0.00101,0.00101
22,718.31,2.41799,2.42197,2.66169,0.28103,0.225,0.18479,0.09167,1.99727,3.05113,2.51909,0.0009605,0.0009605,0.0009605
23,750.055,2.34036,2.38714,2.59345,0.38985,0.275,0.2395,0.12052,1.93123,2.7677,2.53566,0.000911,0.000911,0.000911
24,781.253,2.25556,2.36196,2.52582,0.29826,0.35,0.17346,0.07295,1.88163,2.64879,2.49352,0.0008615,0.0008615,0.0008615
25,814.516,2.27634,2.30923,2.4797,0.36731,0.4,0.23446,0.09721,1.98587,2.55237,2.49674,0.000812,0.000812,0.000812
26,847.4,2.23827,2.26506,2.43853,0.59654,0.36981,0.40892,0.20337,1.9017,2.38991,2.42581,0.0007625,0.0007625,0.0007625
27,879.589,2.25674,2.2333,2.41944,0.33809,0.2428,0.29826,0.14537,1.88359,2.41737,2.43549,0.000713,0.000713,0.000713
28,910.583,2.19225,2.15561,2.42135,0.40064,0.35096,0.26365,0.11745,1.96738,2.46002,2.49332,0.0006635,0.0006635,0.0006635
