epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,941.492,2.17721,2.1715,2.44199,0.43283,0.275,0.24172,0.11757,1.98385,2.58279,2.43753,0.000614,0.000614,0.000614
30,972.395,2.16751,2.10358,2.3469,0.43291,0.275,0.29317,0.17173,1.96259,2.45186,2.39957,0.0005645,0.0005645,0.0005645
31,1002.66,1.85916,2.18522,2.28129,0.38458,0.32816,0.32423,0.19077,1.89772,2.35931,2.40444,0.000515,0.000515,0.000515
32,1033.43,1.9117,2.17353,2.24925,0.8124,0.225,0.34521,0.18317,1.83181,2.3504,2.36894,0.0004655,0.0004655,0.0004655
33,1063.88,1.88904,2.07562,2.25689,0.95324,0.225,0.37654,0.20602,1.7851,2.22047,2.28123,0.000416,0.000416,0.000416
34,1094.58,1.82089,2.05992,2.21135,0.5785,0.325,0.42538,0.24927,1.73422,2.06934,2.23091,0.0003665,0.0003665,0.0003665
35,1125.15,1.82776,2.03801,2.26403,0.7975,0.29562,0.40486,0.23801,1.73511,2.16539,2.23324,0.000317,0.000317,0.000317
36,1156.8,1.84189,2.02473,2.22277,0.78712,0.3,0.39494,0.23863,1.75255,2.1966,2.25555,0.0002675,0.0002675,0.0002675
37,1186.97,1.79725,1.93677,2.16035,0.57943,0.325,0.40128,0.23963,1.73732,2.16714,2.25244,0.000218,0.000218,0.000218
38,1216.53,1.78129,1.96577,2.16596,0.60181,0.35,0.43616,0.24716,1.7334,2.10368,2.23212,0.0001685,0.0001685,0.0001685
39,1246.08,1.84236,1.88753,2.17959,0.52218,0.425,0.45363,0.26792,1.70147,1.98784,2.18015,0.000119,0.000119,0.000119
40,1276.31,1.74332,1.86473,2.12852,0.67855,0.375,0.47187,0.27302,1.70205,1.95957,2.16326,6.95e-05,6.95e-05,6.95e-05
